iter	Passed	Remaining
0	86	27872
1	162	26133
2	231	24671
3	310	24774
4	386	24599
5	465	24576
6	550	24857
7	621	24482
8	690	24074
9	762	23864
10	836	23736
11	910	23604
12	999	23825
13	1160	25606
14	1245	25565
15	1311	25161
16	1380	24856
17	1445	24501
18	1510	24172
19	1573	23833
20	1648	23707
21	1725	23602
22	1794	23407
23	1868	23273
24	1943	23172
25	2015	23023
26	2080	22813
27	2152	22678
28	2241	22719
29	2308	22547
30	2389	22509
31	2459	22364
32	2528	22218
33	2604	22134
34	2678	22041
35	2743	21872
36	2844	21989
37	2922	21918
38	2999	21841
39	3078	21780
40	3144	21630
41	3211	21485
42	3274	21321
43	3355	21277
44	3420	21133
45	3494	21044
46	3571	20975
47	3664	20993
48	3735	20888
49	3813	20822
50	3880	20696
51	3947	20574
52	4017	20466
53	4087	20360
54	4163	20289
55	4235	20194
56	4312	20123
57	4387	20046
58	4462	19966
59	4531	19864
60	4601	19764
61	4675	19681
62	4766	19670
63	4830	19549
64	4906	19474
65	4983	19406
66	5048	19290
67	5123	19213
68	5188	19100
69	5264	19027
70	5431	19277
71	5500	19174
72	5568	19070
73	5643	18989
74	5718	18909
75	5783	18797
76	5857	18713
77	5926	18615
78	5997	18523
79	6067	18428
80	6138	18339
81	6208	18245
82	6233	18024
83	6317	17974
84	6398	17915
85	6474	17843
86	6552	17774
87	6630	17705
88	6700	17616
89	6771	17531
90	6844	17450
91	6916	17367
92	6999	17310
93	7064	17210
94	7132	17118
95	7201	17028
96	7291	16989
97	7359	16896
98	7429	16811
99	7509	16745
100	7599	16704
101	7671	16621
102	7763	16581
103	7834	16497
104	7905	16414
105	7979	16336
106	8054	16259
107	8128	16182
108	8210	16119
109	8284	16041
110	8358	15964
111	8449	15918
112	8527	15847
113	8615	15795
114	8714	15761
115	8781	15671
116	8851	15585
117	8929	15513
118	9028	15477
119	9096	15387
120	9178	15322
121	9241	15226
122	9309	15137
123	9393	15074
124	9480	15016
125	9544	14923
126	9613	14836
127	9684	14754
128	9753	14668
129	9825	14587
130	9901	14512
131	9969	14425
132	10054	14363
133	10139	14301
134	10209	14218
135	10288	14146
136	10361	14066
137	10429	13981
138	10504	13904
139	10551	13791
140	10618	13706
141	10692	13628
142	10771	13558
143	10839	13474
144	10911	13394
145	11001	13337
146	11066	13249
147	11133	13164
148	11201	13081
149	11275	13004
150	11344	12921
151	11413	12840
152	11499	12777
153	11567	12694
154	11657	12635
155	11727	12553
156	11800	12476
157	11903	12430
158	11977	12354
159	12045	12271
160	12124	12200
161	12193	12118
162	12283	12057
163	12355	11978
164	12429	11901
165	12499	11822
166	12578	11750
167	12645	11667
168	12724	11594
169	12795	11515
170	12869	11439
171	12940	11360
172	13015	11285
173	13083	11203
174	13203	11166
175	13284	11095
176	13360	11020
177	13424	10935
178	13504	10863
179	13579	10787
180	13662	10718
181	13737	10642
182	13805	10561
183	13873	10480
184	13944	10401
185	14019	10326
186	14086	10244
187	14160	10168
188	14226	10086
189	14296	10007
190	14363	9926
191	14445	9855
192	14517	9778
193	14591	9702
194	14660	9623
195	14727	9542
196	14794	9462
197	14871	9388
198	14943	9311
199	15031	9244
200	15106	9168
201	15166	9085
202	15239	9008
203	15320	8936
204	15387	8857
205	15464	8783
206	15538	8707
207	15629	8641
208	15709	8568
209	15770	8486
210	15835	8405
211	15914	8332
212	15988	8257
213	16055	8177
214	16167	8121
215	16260	8054
216	16328	7976
217	16398	7898
218	16467	7820
219	16529	7738
220	16607	7664
221	16680	7588
222	16748	7510
223	16813	7431
224	16892	7357
225	16962	7280
226	17030	7202
227	17109	7128
228	17178	7051
229	17249	6974
230	17335	6904
231	17407	6827
232	17494	6757
233	17548	6674
234	17602	6591
235	17666	6512
236	17741	6437
237	17805	6359
238	17865	6279
239	17926	6199
240	18010	6128
241	18089	6054
242	18155	5977
243	18227	5901
244	18303	5827
245	18368	5749
246	18444	5675
247	18522	5601
248	18604	5528
249	18690	5457
250	18756	5380
251	18821	5302
252	18893	5227
253	18967	5152
254	19038	5076
255	19109	5001
256	19183	4926
257	19252	4850
258	19331	4776
259	19399	4700
260	19462	4623
261	19524	4545
262	19602	4472
263	19670	4395
264	19740	4320
265	19800	4242
266	19877	4169
267	19946	4093
268	20021	4019
269	20094	3944
270	20160	3868
271	20228	3792
272	20299	3717
273	20370	3642
274	20432	3566
275	20505	3491
276	20578	3417
277	20647	3342
278	20724	3268
279	20793	3193
280	20861	3118
281	20939	3044
282	21004	2968
283	21057	2891
284	21120	2816
285	21195	2742
286	21266	2667
287	21333	2592
288	21401	2517
289	21471	2443
290	21540	2368
291	21609	2294
292	21678	2219
293	21744	2144
294	21806	2069
295	21886	1996
296	21945	1921
297	22031	1848
298	22103	1774
299	22176	1700
300	22244	1625
301	22322	1552
302	22424	1480
303	22489	1405
304	22572	1332
305	22643	1257
306	22711	1183
307	22781	1109
308	22851	1035
309	22921	961
310	22991	887
311	23063	813
312	23130	738
313	23196	664
314	23272	591
315	23337	516
316	23427	443
317	23506	369
318	23578	295
319	23662	221
320	23735	147
321	23810	73
322	23876	0
